Sample	capan1-r3.bam
Mapping Rate	0.960351
Unique Rate of Mapped	1
Duplicate Rate of Mapped	0
Duplicate Rate of Mapped, excluding Globins	0
Base Mismatch	0.00233911
End 1 Mapping Rate	0.967696
End 2 Mapping Rate	0.953006
End 1 Mismatch Rate	0.00194466
End 2 Mismatch Rate	0.00273964
Expression Profiling Efficiency	0.754124
High Quality Rate	0
Exonic Rate	0.785258
Intronic Rate	0.114574
Intergenic Rate	0.0297666
Intragenic Rate	0.899832
Ambiguous Alignment Rate	0.0704014
High Quality Exonic Rate	-nan
High Quality Intronic Rate	-nan
High Quality Intergenic Rate	-nan
High Quality Intragenic Rate	-nan
High Quality Ambiguous Alignment Rate	-nan
Discard Rate	0
rRNA Rate	0.00763087
Chimeric Alignment Rate	0
End 1 Sense Rate	0.502548
End 2 Sense Rate	0.502549
Avg. Splits per Read	0.511606
Alternative Alignments	1978856
Chimeric Reads	101822
Duplicate Reads	0
End 1 Antisense	10139037
End 2 Antisense	9985794
End 1 Bases	3418768650
End 2 Bases	3366870600
End 1 Mapped Reads	22791791
End 2 Mapped Reads	22445804
End 1 Mismatches	6648351
End 2 Mismatches	9224005
End 1 Sense	10242896
End 2 Sense	10088126
Exonic Reads	35523199
Failed Vendor QC	0
High Quality Reads	0
Intergenic Reads	1346568
Intragenic Reads	40706237
Ambiguous Reads	3184790
Intronic Reads	5183038
Low Mapping Quality	47105280
Low Quality Reads	45237595
Mapped Duplicate Reads	0
Mapped Reads	45237595
Mapped Unique Reads	45237595
Mismatched Bases	15872356
Non-Globin Reads	45237589
Non-Globin Duplicate Reads	0
Reads excluded from exon counts	0
Reads used for Intron/Exon counts	45237595
rRNA Reads	345202
Total Bases	6785639250
Total Mapped Pairs	22147793
Total Reads	49084136
Unique Mapping, Vendor QC Passed Reads	47105280
Unpaired Reads	0
Read Length	150
Genes Detected	0
Estimated Library Complexity	0
Genes used in 3' bias	0
Mean 3' bias	0
Median 3' bias	0
3' bias Std	0
3' bias MAD_Std	0
3' Bias, 25th Percentile	0
3' Bias, 75th Percentile	0
Median of Avg Transcript Coverage	0
Median of Transcript Coverage Std	0
Median of Transcript Coverage CV	0
Median Exon CV	0
Exon CV MAD	0
