Sample	hpne-r3.bam
Mapping Rate	0.959792
Unique Rate of Mapped	1
Duplicate Rate of Mapped	0
Duplicate Rate of Mapped, excluding Globins	0
Base Mismatch	0.00283419
End 1 Mapping Rate	0.968987
End 2 Mapping Rate	0.950598
End 1 Mismatch Rate	0.0025025
End 2 Mismatch Rate	0.00317231
Expression Profiling Efficiency	0.799105
High Quality Rate	0
Exonic Rate	0.832581
Intronic Rate	0.0840561
Intergenic Rate	0.019778
Intragenic Rate	0.916637
Ambiguous Alignment Rate	0.0635848
High Quality Exonic Rate	-nan
High Quality Intronic Rate	-nan
High Quality Intergenic Rate	-nan
High Quality Intragenic Rate	-nan
High Quality Ambiguous Alignment Rate	-nan
Discard Rate	0
rRNA Rate	0.00846431
Chimeric Alignment Rate	0
End 1 Sense Rate	0.502005
End 2 Sense Rate	0.502176
Avg. Splits per Read	0.571662
Alternative Alignments	1949702
Chimeric Reads	83214
Duplicate Reads	0
End 1 Antisense	10220808
End 2 Antisense	10023701
End 1 Bases	3396375900
End 2 Bases	3331919400
End 1 Mapped Reads	22642506
End 2 Mapped Reads	22212796
End 1 Mismatches	8499422
End 2 Mismatches	10569873
End 1 Sense	10303104
End 2 Sense	10111315
Exonic Reads	37345681
Failed Vendor QC	0
High Quality Reads	0
Intergenic Reads	887147
Intragenic Reads	41116041
Ambiguous Reads	2852114
Intronic Reads	3770360
Low Mapping Quality	46734386
Low Quality Reads	44855302
Mapped Duplicate Reads	0
Mapped Reads	44855302
Mapped Unique Reads	44855302
Mismatched Bases	19069295
Non-Globin Reads	44855294
Non-Globin Duplicate Reads	0
Reads excluded from exon counts	0
Reads used for Intron/Exon counts	44855302
rRNA Reads	379669
Total Bases	6728295300
Total Mapped Pairs	21857423
Total Reads	48684088
Unique Mapping, Vendor QC Passed Reads	46734386
Unpaired Reads	0
Read Length	150
Genes Detected	0
Estimated Library Complexity	0
Genes used in 3' bias	0
Mean 3' bias	0
Median 3' bias	0
3' bias Std	0
3' bias MAD_Std	0
3' Bias, 25th Percentile	0
3' Bias, 75th Percentile	0
Median of Avg Transcript Coverage	0
Median of Transcript Coverage Std	0
Median of Transcript Coverage CV	0
Median Exon CV	0
Exon CV MAD	0
