Sample	RNA-Seq_786-O-1_trimmed
Mapping Rate	0.987365
Unique Rate of Mapped	1
Duplicate Rate of Mapped	0
Duplicate Rate of Mapped, excluding Globins	0
Base Mismatch	0.00123084
End 1 Mapping Rate	0
End 2 Mapping Rate	0
End 1 Mismatch Rate	-nan
End 2 Mismatch Rate	-nan
Expression Profiling Efficiency	0.834077
High Quality Rate	0
Exonic Rate	0.844751
Intronic Rate	0.100071
Intergenic Rate	0.0323904
Intragenic Rate	0.944823
Ambiguous Alignment Rate	0.0227871
High Quality Exonic Rate	-nan
High Quality Intronic Rate	-nan
High Quality Intergenic Rate	-nan
High Quality Intragenic Rate	-nan
High Quality Ambiguous Alignment Rate	-nan
Discard Rate	0
rRNA Rate	0.00896393
Chimeric Alignment Rate	0
End 1 Sense Rate	-nan
End 2 Sense Rate	-nan
Avg. Splits per Read	0.176907
Alternative Alignments	10329719
Chimeric Reads	0
Duplicate Reads	0
End 1 Antisense	0
End 2 Antisense	0
End 1 Bases	0
End 2 Bases	0
End 1 Mapped Reads	0
End 2 Mapped Reads	0
End 1 Mismatches	0
End 2 Mismatches	0
End 1 Sense	0
End 2 Sense	0
Exonic Reads	39740654
Failed Vendor QC	0
High Quality Reads	0
Intergenic Reads	1523780
Intragenic Reads	44448430
Ambiguous Reads	1072002
Intronic Reads	4707776
Low Mapping Quality	47646241
Low Quality Reads	47044212
Mapped Duplicate Reads	0
Mapped Reads	47044212
Mapped Unique Reads	47044212
Mismatched Bases	2884455
Non-Globin Reads	47044210
Non-Globin Duplicate Reads	0
Reads excluded from exon counts	0
Reads used for Intron/Exon counts	47044212
rRNA Reads	421701
Total Bases	2343480239
Total Mapped Pairs	0
Total Reads	57975960
Unique Mapping, Vendor QC Passed Reads	47646241
Unpaired Reads	47646241
Read Length	50
Genes Detected	0
Estimated Library Complexity	0
Genes used in 3' bias	0
Mean 3' bias	0
Median 3' bias	0
3' bias Std	0
3' bias MAD_Std	0
3' Bias, 25th Percentile	0
3' Bias, 75th Percentile	0
Median of Avg Transcript Coverage	0
Median of Transcript Coverage Std	0
Median of Transcript Coverage CV	0
Median Exon CV	0
Exon CV MAD	0
