Sample	RNA-Seq_OS-RC2_TGL-1_trimmed
Mapping Rate	0.990211
Unique Rate of Mapped	1
Duplicate Rate of Mapped	0
Duplicate Rate of Mapped, excluding Globins	0
Base Mismatch	0.00102274
End 1 Mapping Rate	0
End 2 Mapping Rate	0
End 1 Mismatch Rate	-nan
End 2 Mismatch Rate	-nan
Expression Profiling Efficiency	0.805874
High Quality Rate	0
Exonic Rate	0.813841
Intronic Rate	0.11966
Intergenic Rate	0.041876
Intragenic Rate	0.933501
Ambiguous Alignment Rate	0.0246229
High Quality Exonic Rate	-nan
High Quality Intronic Rate	-nan
High Quality Intergenic Rate	-nan
High Quality Intragenic Rate	-nan
High Quality Ambiguous Alignment Rate	-nan
Discard Rate	0
rRNA Rate	0.0100139
Chimeric Alignment Rate	0
End 1 Sense Rate	-nan
End 2 Sense Rate	-nan
Avg. Splits per Read	0.143418
Alternative Alignments	3433368
Chimeric Reads	0
Duplicate Reads	0
End 1 Antisense	0
End 2 Antisense	0
End 1 Bases	0
End 2 Bases	0
End 1 Mapped Reads	0
End 2 Mapped Reads	0
End 1 Mismatches	0
End 2 Mismatches	0
End 1 Sense	0
End 2 Sense	0
Exonic Reads	12043507
Failed Vendor QC	0
High Quality Reads	0
Intergenic Reads	619696
Intragenic Reads	13814284
Ambiguous Reads	364379
Intronic Reads	1770777
Low Mapping Quality	14944646
Low Quality Reads	14798359
Mapped Duplicate Reads	0
Mapped Reads	14798359
Mapped Unique Reads	14798359
Mismatched Bases	755847
Non-Globin Reads	14798345
Non-Globin Duplicate Reads	0
Reads excluded from exon counts	0
Reads used for Intron/Exon counts	14798359
rRNA Reads	148189
Total Bases	739042028
Total Mapped Pairs	0
Total Reads	18378014
Unique Mapping, Vendor QC Passed Reads	14944646
Unpaired Reads	14944646
Read Length	50
Genes Detected	0
Estimated Library Complexity	0
Genes used in 3' bias	0
Mean 3' bias	0
Median 3' bias	0
3' bias Std	0
3' bias MAD_Std	0
3' Bias, 25th Percentile	0
3' Bias, 75th Percentile	0
Median of Avg Transcript Coverage	0
Median of Transcript Coverage Std	0
Median of Transcript Coverage CV	0
Median Exon CV	0
Exon CV MAD	0
