Sample	RNA-Seq_OS-LM1-1_trimmed
Mapping Rate	0.990034
Unique Rate of Mapped	1
Duplicate Rate of Mapped	0
Duplicate Rate of Mapped, excluding Globins	0
Base Mismatch	0.00100118
End 1 Mapping Rate	0
End 2 Mapping Rate	0
End 1 Mismatch Rate	-nan
End 2 Mismatch Rate	-nan
Expression Profiling Efficiency	0.806627
High Quality Rate	0
Exonic Rate	0.814747
Intronic Rate	0.118972
Intergenic Rate	0.0407123
Intragenic Rate	0.93372
Ambiguous Alignment Rate	0.0255681
High Quality Exonic Rate	-nan
High Quality Intronic Rate	-nan
High Quality Intergenic Rate	-nan
High Quality Intragenic Rate	-nan
High Quality Ambiguous Alignment Rate	-nan
Discard Rate	0
rRNA Rate	0.0119199
Chimeric Alignment Rate	0
End 1 Sense Rate	-nan
End 2 Sense Rate	-nan
Avg. Splits per Read	0.142764
Alternative Alignments	7514689
Chimeric Reads	0
Duplicate Reads	0
End 1 Antisense	0
End 2 Antisense	0
End 1 Bases	0
End 2 Bases	0
End 1 Mapped Reads	0
End 2 Mapped Reads	0
End 1 Mismatches	0
End 2 Mismatches	0
End 1 Sense	0
End 2 Sense	0
Exonic Reads	26631006
Failed Vendor QC	0
High Quality Reads	0
Intergenic Reads	1330730
Intragenic Reads	30519765
Ambiguous Reads	835725
Intronic Reads	3888759
Low Mapping Quality	33015252
Low Quality Reads	32686220
Mapped Duplicate Reads	0
Mapped Reads	32686220
Mapped Unique Reads	32686220
Mismatched Bases	1634353
Non-Globin Reads	32686174
Non-Globin Duplicate Reads	0
Reads excluded from exon counts	0
Reads used for Intron/Exon counts	32686220
rRNA Reads	389616
Total Bases	1632427719
Total Mapped Pairs	0
Total Reads	40529941
Unique Mapping, Vendor QC Passed Reads	33015252
Unpaired Reads	33015252
Read Length	50
Genes Detected	0
Estimated Library Complexity	0
Genes used in 3' bias	0
Mean 3' bias	0
Median 3' bias	0
3' bias Std	0
3' bias MAD_Std	0
3' Bias, 25th Percentile	0
3' Bias, 75th Percentile	0
Median of Avg Transcript Coverage	0
Median of Transcript Coverage Std	0
Median of Transcript Coverage CV	0
Median Exon CV	0
Exon CV MAD	0
